,Text,Time_Diff_seconds
889,"[""He's six.""]",1.934
890,"[""He doesn't know what's happening."", 'He follows me around all day,']",3.402
891,"['- clutching my leg, crying--', '- close the windows!']",2.434
892,"[""I can't stand it!"", 'Please make them stop!']",2.168
893,['Fire.'],2.502
894,"['You stay here.', ""I'll come back.""]",2.168
895,"[""You're not supposed"", 'to be here.']",2.501
896,"['No one is', 'supposed to be here.']",2.701
897,"[""It's a mercy."", ""He's dead already.""]",3.569
898,['No!'],2.701
899,"['- Have you ever seen a dragon?', '- Dragon gone, Khaleesi.']",3.769
900,"['Everywhere?', 'Even in the east?']",3.036
901,"['No dragon.', 'Brave men kill them.']",2.935
902,"['- It is known.', '- It is known.']",3.202
903,"['A trader from Garth told me', 'that dragons come from the moon.']",4.037
904,['The moon?'],2.335
905,"['He told me the moon', 'was an egg, Khaleesi,']",2.168
906,"['that once there were', 'two moons in the sky.']",3.035
907,"['But one wandered too close', 'to the sun and it cracked from the heat.']",3.837
908,"['Out of it poured a thousand', 'thousand dragons']",3.235
909,"['and they drank', ""the sun's fire.""]",1.934
910,['Moon is no egg.'],2.902
911,"['Moon is goddess--', 'wife of sun.']",2.835
912,"['- It is known.', '- It is known.']",2.769
913,['Leave me with her.'],1.967
914,"['Why did the trader from Garth', 'tell you these stories?']",3.269
915,"['Men like to talk', ""when they're happy.""]",3.202
916,"['Before your brother', 'bought me for you,']",2.035
917,"['it was my job', 'to make men happy.']",2.068
918,"['- How old were you?', '- I was nine']",3.169
919,"['when my mother sold me', 'to the pleasure house.']",2.001
920,['Nine?!'],1.501
921,"['I did not touch a man', 'for three years, Khaleesi.']",3.436
922,['First'],1.534
923,['you must learn.'],1.968
924,"['Can you teach me how', 'to make the Khal happy?']",3.503
925,"['- Yes.', '- Will it take three years?']",3.903
926,['No.'],1.667
927,['Welcome.'],2.201
928,"['What I am about to tell', 'you must remain between us.']",3.569
929,"[""I don't think Bran"", 'fell from that tower.']",2.635
930,['I think he was thrown.'],2.001
931,"['The boy was always', 'sure-footed before.']",2.769
932,"['Someone tried', 'to kill him twice.']",2.735
933,"['Why?', 'Why murder an innocent child?']",3.103
934,"['Unless he saw something', ""he wasn't meant to see.""]",2.735
935,"['- Saw what, my lady?', ""- I don't know.""]",2.702
936,"['But I would stake my life', 'the Lannisters are involved.']",2.235
937,"['We already have reason', 'to suspect their loyalty to the crown.']",3.436
938,"['Did you notice the dagger', 'the killer used?']",2.302
939,"[""It's too fine a weapon"", 'for such a man.']",2.435
940,"['The blade is Valyrian steel,', 'the handle dragonbone.']",3.302
941,['Someone gave it to him.'],1.901
942,"['They come into our home', 'and try to murder my brother?']",3.536
943,"[""If it's war they want--""]",2.221
944,"['If it comes to that, you know', ""I'll stand behind you.""]",1.688
945,"['What, is there going to be', 'a battle in the Godswood?']",2.868
946,['Huh?'],1.967
947,"['Too easily words of war', 'become acts of war.']",2.968
948,"[""We don't know"", 'the truth yet.']",2.034
949,"['Lord Stark', 'must be told of this.']",2.534
950,"[""I don't trust a raven"", 'to carry these words.']",2.935
951,"[""- I'll ride to King's Landing."", '- No.']",1.901
952,"['There must always be', 'a Stark in Winterfell.']",3.302
953,"['- I will go myself.', ""- Mother, you can't.""]",2.302
954,['I must.'],2.135
955,"[""I'll send hal with a squad"", 'of guardsmen to escort you.']",2.702
956,"['Too large a party attracts', 'unwanted attention.']",2.502
957,"[""I don't want the Lannisters"", ""to know I'm coming.""]",2.302
958,"['Let me accompany you', 'at least.']",1.834
959,"['The Kingsroad can be a', 'dangerous place for a woman alone.']",2.902
960,['What about Bran?'],2.335
961,"['I have prayed to the seven', 'for more than a month.']",3.102
962,"[""Bran's life is"", 'in their hands now.']",3.369
963,"['No, Khaleesi.']",2.268
964,"['You must look', 'in his eyes always.']",2.802
965,['Love comes in at the eyes.'],2.035
966,"['It is said that Irogenia of Lys', 'could finish a man']",4.437
967,"['with nothing', 'but her eyes.']",2.035
968,['Finish a man?'],2.301
969,['Oh.'],2.101
970,"['Kings traveled across', 'the world for a night with Irogenia.']",4.537
971,"['Magisters sold', 'their palaces.']",2.635
972,"['Khals burned her enemies', 'just to have her for a few hours.']",3.736
973,"['They say a thousand men', 'proposed to her']",3.77
974,['and she refused them all.'],2.835
975,"['Well, she sounds like', 'an interesting woman.']",3.569
976,"[""I-- I don't think""]",1.934
977,"['that Drogo will like it', 'with me on top.']",2.268
978,"['You will make him', 'like it, Khaleesi.']",2.502
979,"['Men want what', ""they've never had.""]",2.234
980,"['And the Dothraki take slaves', 'like a hound takes a bitch.']",3.202
981,"['Are you a slave,', 'Khaleesi?']",3.47
982,"[""Then don't make love"", 'like a slave.']",2.869
983,"['Very good, Khaleesi.']",2.368
984,"['Out there', 'he is the mighty Khal,']",2.168
985,"['but in this tent,', 'he belongs to you.']",4.07
986,"[""I-- I don't think""]",2.235
987,"['that this is', 'the Dothraki way.']",2.068
988,"['If he wanted', 'the Dothraki way,']",2.569
989,['why did he marry you?'],3.002
990,['No.'],2.869
991,['No!'],1.901
992,"['Ajjalan anha zalat', 'vitiherat yer hatif.']",4.67
993,"['Pardon me, Ser.']",1.834
994,"['Do I frighten you', 'so much, girl?']",2.335
995,"['Or is it him there', 'making you shake?']",2.769
996,"['He frightens', 'me too.']",2.602
997,"['Look at', 'that face.']",2.468
998,"[""I'm sorry"", 'if I offended you, Ser.']",2.768
999,"[""Why won't he speak to me?""]",1.968
1000,"[""He hasn't been very talkative"", 'these last 20 years.']",2.2
1001,"['Since the mad King had his tongue', 'ripped out with hot pincers.']",3.069
1002,"['He speaks damn well', 'with his sword though.']",2.735
1003,"['Ser Ilyn Payne,', ""the King's justice.""]",3.769
1004,"['The royal', 'executioner.']",2.134
1005,"['What is it, sweet lady?']",3.169
1006,['Does the hound frighten you?'],2.068
1007,"['Away with you, dog.']",1.701
1008,"[""You're scaring"", 'my lady.']",2.668
1009,"[""I don't like"", 'to see you upset.']",2.135
1010,['The Sun is finally shining.'],1.801
1011,['Come walk with me.'],1.767
1012,"['Stay, lady.']",2.135
1013,"[""I probably shouldn't"", 'have any more.']",2.201
1014,"['Father only lets us', 'have one cup at feasts.']",2.368
1015,"['My princess can drink', 'as much as she wants.']",3.068
1016,"[""Don't worry--"", ""you're safe with me.""]",2.768
1017,"[""I'll get you!""]",2.101
1018,"['- Arya!', '- Ow!']",2.935
1019,['What are you doing here?'],1.567
1020,"['- Go away.', '- Your sister?']",2.469
1021,"['- And who are you, boy?', '- Mycah, my Lord.']",2.801
1022,"[""- He the butcher's boy."", ""- He's my friend.""]",2.101
1023,"[""A butcher's boy who wants"", 'to be a Knight, eh?']",3.469
1024,"[""Pick up your sword, butcher's boy."", ""Let's see how good you are.""]",2.835
1025,"['She asked me to, my Lord.', 'She asked me to.']",2.601
1026,"[""I'm your prince,""]",1.967
1027,"['not your lord,']",1.934
1028,"['and I said pick up', 'your sword.']",3.603
1029,"[""It's not a sword, my prince."", ""It's only a stick.""]",2.335
1030,"[""And you're not a Knight.""]",1.867
1031,"[""Only a butcher's boy.""]",2.234
1032,"[""That was my lady's sister"", 'you were hitting, do you know that?']",3.035
1033,"['- Stop it!', '- Arya, stay out of this.']",2.335
1034,"[""I won't hurt him...""]",1.768
1035,['Much.'],1.601
1036,['Arya!'],1.267
1037,['Filthy little bitch!'],1.401
1038,"['No no, stop it, stop it,', 'both of you.']",1.901
1039,"[""You're spoiling it."", ""You're spoiling everything!""]",3.336
1040,"[""I'll gut you,"", 'you little cunt!']",2.635
1041,"['- Arya!', '- Nymeria!']",2.101
1042,"['- Arya!', '- Nymeria!']",2.569
1043,['No.'],1.934
1044,"['No.', ""Please don't.""]",2.601
1045,"['Arya, leave him alone.']",2.434
1046,"['My prince, my poor prince,', 'look what they did to you.']",3.469
1047,"[""Stay here, I'll go back"", 'to the inn and bring help.']",2.435
1048,['Then go!'],1.334
1049,"[""Don't touch me.""]",2.435
1050,"[""The wolf's not here."", 'Look down by the stream.']",2.968
1051,"[""You've got to go. They'll kill you for"", 'what you did to Joffrey.']",3.97
1052,['Go on-- run.'],2.135
1053,"['Go!', 'Leave now!']",2.168
1054,"[""- It's a direwolf."", ""- I'll check down here.""]",2.468
1055,['I think I heard a noise.'],3.603
1056,['Go!'],1.634
1057,['Arya!'],3.135
1058,"['- Distant man: Arya!', '- Ned: Arya!']",4.704
1059,['Arya-aa!'],2.902
1060,['Arya!'],2.068
1061,['Arya!'],1.734
1062,['My lord!'],1.935
1063,"['My lord!', 'They found her.']",2.401
1064,"[""She's unharmed.""]",2.468
1065,['Where is she?'],1.518
1066,"[""She's been taken"", 'directly before the King.']",1.726
1067,"['- Who took her?', '- The Lannisters found her.']",1.834
1068,"['- Arya-aa!', '- Right, get back.']",2.168
1069,"['The Queen ordered', 'them to bring her straight to him.']",2.38
1070,"['Back!', 'Back to the inn.']",2.235
1071,['All back!'],1.867
1072,"[""I'm sorry, I'm sorry,"", ""I'm sorry.""]",1.868
1073,"['- Are you hurt?', '- No.']",1.734
1074,"[""Oh, it's all right.""]",2.535
1075,"['What is', 'the meaning of this?']",2.735
1076,"['Why was my daughter', 'not brought to me at once?']",2.719
1077,"['How dare you speak', 'to your King in that manner?']",1.64
1078,"['Quiet, woman.']",1.2
1079,"['Sorry, Ned.', 'I never meant to frighten the girl.']",2.902
1080,"['But we need to get', 'this business done quickly.']",2.268
1081,"[""Your girl and that butcher's boy"", 'attacked my son.']",3.569
1082,"['That animal of hers', 'nearly tore his arm off.']",2.635
1083,"[""That's not true!""]",1.934
1084,"['She just...', 'Bit him a little.']",2.468
1085,"['- He was hurting Mycah.', '- Joff told us what happened.']",3.603
1086,"['You and that boy', 'beat him with clubs']",1.901
1087,"['- while you set your wolf on him.', ""- That's not what happened!""]",2.869
1088,['Yes it is!'],1.626
1089,"['They all attacked me and she', 'threw my sword in the river.']",1.75
1090,"['- Liar!', '- Shut up!']",1.266
1091,['Enough!'],1.4
1092,"['He tells me one thing,', 'she tells me another.']",3.035
1093,"['Seven hells!', 'What am I to make of this?']",2.368
1094,"[""Where's your"", 'other daughter, Ned?']",2.058
1095,['In bed asleep.'],1.352
1096,"[""She's not.""]",1.301
1097,"['Sansa, come here, darling.']",2.335
1098,"['Now, child...']",2.001
1099,['Tell me what happened.'],2.068
1100,"['Tell it all', 'and tell it true.']",2.068
1101,"[""It's a great crime"", 'to lie to a King.']",2.635
1102,"[""I don't know.""]",1.934
1103,"[""I don't remember."", 'Everything happened so fast.']",3.436
1104,"[""- I didn't see."", '- Liar!']",2.468
1105,"['- Liar liar liar!', '- Arya!']",1.468
1106,"[""- Hey, stop it! That's enough of that."", '- Liar liar liar!']",2.301
1107,"['- Stop! Arya!', ""- She's as wild as that animal of hers.""]",4.361
1108,['I want her punished.'],1.021
1109,"['What would you have me do,', 'whip her through the streets?']",2.732
1110,"['Damn it, children fight.', ""It's over.""]",2.702
1111,"['Joffrey will bear these scars', 'for the rest of his life.']",2.602
1112,"['You let that', 'little girl disarm you?']",3.636
1113,"['Ned, see to it that', 'your daughter is disciplined.']",3.136
1114,"[""- I'll do the same with my son."", '- Gladly, your Grace.']",2.869
1115,['And what of the direwolf?'],2.635
1116,"['What of the beast', 'that savaged your son?']",2.601
1117,"[""I'd forgot"", 'the damned wolf.']",2.501
1118,"['We found no trace', 'of the direwolf, your Grace.']",2.768
1119,"['No?', 'So be it.']",3.269
1120,['We have another wolf.'],2.168
1121,['As you will.'],1.634
1122,"[""- You can't mean it."", ""- A direwolf's no pet.""]",3.202
1123,"['Get her a dog.', ""She'll be happier for it.""]",2.435
1124,"[""He doesn't mean Lady,"", 'does he?']",2.368
1125,"['No no, not lady!', ""Lady didn't bite anyone!""]",3.002
1126,"[""- She's good!"", ""- Lady wasn't there!""]",1.901
1127,"['- You leave her alone!', ""- Stop them. Don't let them do it.""]",3.369
1128,"['Please please,', ""it wasn't Lady!""]",2.735
1129,['Is this your command--'],1.501
1130,['your Grace?'],1.534
1131,"['- Where is the beast?', '- Chained up outside, your Grace.']",3.536
1132,"['Ser Ilyn,', 'do me the honor.']",2.168
1133,['No.'],2.301
1134,['Jory...'],2.368
1135,"['Take the girls', 'to their rooms.']",2.034
1136,"['If it must be done,']",2.601
1137,"[""then I'll do it myself.""]",1.968
1138,['Is this some trick?'],2.202
1139,['The wolf is of the north.'],2.935
1140,"['She deserves better', 'than a butcher.']",3.102
1141,"[""The butcher's boy--""]",1.935
1142,['you rode him down?'],1.668
1143,['He ran...'],2.135
1144,['Not very fast.'],1.701
1145,"['Welcome, Lord Stark.']",1.316
1146,"['Grand Maester Pycelle has called', 'a meeting of the small council.']",3.3
1147,"['The honor of your', 'presence is requested.']",2.1
1148,"['Get the girls settled in.', ""I'll be back in time for supper.""]",3.103
1149,"['- And, Jory, you go with them.', '- Yes, My Lord.']",2.635
1150,"[""If you'd like to change into"", 'something more appropriate...']",3.736
1151,"['Thank the gods', ""you're here, Stark.""]",2.335
1152,"['About time we had some stern', 'northern leadership.']",3.525
1153,"[""About glad to see you're"", 'protecting the throne.']",1.701
1154,['Sturdy old thing.'],2.034
1155,"[""How many kings' asses"", 'have polished it, I wonder?']",2.468
1156,"[""Um, what's the line?""]",2.0
1157,"['The King shits', 'and the Hand wipes.']",3.103
1158,['Very handsome armor.'],3.47
1159,"['- Not a scratch on it.', '- I know.']",2.402
1160,"['People have been swinging at me for', 'years, but they always seem to miss.']",3.537
1161,"[""You've chosen your"", 'opponents wisely then.']",2.869
1162,['I have a knack for it.'],2.035
1163,"['It must be strange for you', 'coming into this room.']",3.135
1164,"['I was standing right here', 'when it happened.']",2.969
1165,"['He was very brave,', 'your brother.']",2.067
1166,['Your father too.'],1.801
1167,"[""They didn't deserve"", 'to die like that.']",2.134
1168,"['Nobody deserves', 'to die like that.']",2.868
1169,"['But you just stood there', 'and watched.']",1.867
1170,"['500 men just stood there', 'and watched.']",2.969
1171,"['All the great knights', 'of the Seven Kingdoms--']",2.769
1172,"['You think anyone said a', 'word, lifted a finger?']",2.401
1173,"['No, Lord Stark.']",2.601
1174,"['500 men and this room', 'was silent as a crypt.']",4.603
1175,"['Except for the screams,', 'of course,']",2.469
1176,['and the Mad King laughing.'],2.835
1177,['And later...'],2.735
1178,"['When I watched', 'the Mad King die,']",2.634
1179,"['I remembered him laughing', 'as your father burned...']",3.369
1180,['It felt like justice.'],1.667
1181,"['Is that what you', 'tell yourself at night?']",2.668
1182,"[""You're a servant of justice?""]",2.736
1183,"['That you were avenging', 'my father when you']",2.068
1184,"['shoved your sword in', ""Aerys Targaryen's back?""]",2.569
1185,['Tell me--'],1.768
1186,"[""If I'd stabbed the Mad King in"", 'the belly instead of the back,']",3.035
1187,['would you admire me more?'],2.569
1188,['You served him well'],2.535
1189,['when serving was safe.'],2.936
1190,['Lord Stark.'],2.235
1191,['Lord Varys.'],1.801
1192,"['I was grievously sorry to hear of', 'your troubles on the Kingsroad.']",3.368
1193,"['We are all praying for prince', ""Joffrey's full recovery.""]",3.635
1194,"[""A shame you didn't say a"", ""prayer for the butcher's son.""]",3.435
1195,"['Renly!', ""You're looking well.""]",3.302
1196,"['And you look', 'tired from the road.']",1.768
1197,"['I told them this meeting', 'could wait another day, but--']",2.168
1198,"['But we have a kingdom', 'to look after.']",2.769
1199,"[""I've hoped to meet you"", 'for some time, Lord Stark.']",3.269
1200,"['- No doubt Lady Catelyn has mentioned me.', '- She has, Lord Baelish.']",3.603
1201,"['I understand you knew', 'my brother Brandon as well.']",3.069
1202,"['All too well.', 'I still carry a token of his esteem']",3.236
1203,['from navel to collarbone.'],1.969
1204,"['Perhaps you chose', 'the wrong man to duel with.']",2.068
1205,"[""It wasn't the man"", 'that I chose, My Lord.']",1.968
1206,['It was Catelyn Tully.'],2.369
1207,"['A woman worth fighting for,', ""I'm sure you'll agree.""]",3.336
1208,"['I humbly beg your pardon,', 'my Lord Stark.']",2.669
1209,['Grand Maester.'],2.636
1210,['How many years has it been?'],2.202
1211,"['- You were a young man.', '- And you served another King.']",3.669
1212,"['Oh, how forgetful of me.']",2.768
1213,"['This belongs to you, now.']",2.3
1214,['Should we begin?'],1.734
1215,"['- Without the King?', '- Winter may be coming,']",1.868
1216,"[""but I'm afraid the same cannot"", 'be said for my brother.']",3.303
1217,['His Grace has many cares.'],2.067
1218,"['He entrusts some', 'small matters to us']",3.001
1219,['that we might lighten the load.'],1.801
1220,"['We are the lords', 'of small matters here.']",2.901
1221,"['My brother instructs us', 'to stage a tournament']",2.468
1222,"[""in honor of Lord Stark's"", 'appointment as Hand of the King.']",2.835
1223,"['- Mmm, how much?', '- 40,000 gold dragons to the champion,']",3.67
1224,"['20,000 to the runner-up,']",1.701
1225,"['20,000 to the winning archer.']",3.135
1226,"['Can the treasury bear', 'such expense?']",2.302
1227,"[""I'll have to borrow it."", 'The Lannisters will accommodate, I expect.']",2.935
1228,"['We already owe Lord Tywin 3 million gold.', ""What's another 80,000?""]",2.936
1229,"['Are you telling me the Crown', 'is three million in debt?']",2.134
1230,"[""I'm telling you the Crown"", 'is six million in debt.']",2.067
1231,['How could you let this happen?'],1.901
1232,"['The Master of Coin', 'finds the money.']",1.767
1233,['The King and the Hand spend it.'],2.434
1234,['I will not believe Jon Arryn'],1.734
1235,"['allowed Robert', 'to bankrupt the realm.']",1.801
1236,"['Lord Arryn gave wise', 'and prudent advice,']",2.969
1237,['but I fear His Grace'],2.268
1238,"[""- doesn't always listen."", '- ""Counting coppers,"" he calls it.']",3.903
1239,"[""I'll speak to him tomorrow.""]",2.368
1240,"['This tournament is an', 'extravagance we cannot afford.']",2.868
1241,"['As you will.', ""But still, we'd best make our plans.""]",2.368
1242,['There will be no plans'],2.134
1243,['until I speak to Robert.'],2.335
1244,"['Forgive me, my Lords.', ""I'm--""]",2.001
1245,"['- I had a long ride.', ""- You are the King's Hand,""]",3.67
1246,"['Lord Stark, we serve', 'at your pleasure.']",3.569
1247,"['- Ow!', ""- Please, it's nearly healed.""]",2.468
1248,"[""- It's ugly."", '- A King should have scars']",3.403
1249,"['you fought off a direwolf.', ""You're a warrior like your father.""]",3.803
1250,"[""I'm not like him."", ""I didn't fight off anything.""]",2.302
1251,"['It bit me and all', 'I did was scream.']",2.002
1252,"['And the two Stark girls', 'saw it, both of them.']",2.268
1253,"[""That's not true."", 'You killed the beast.']",3.07
1254,"['You only spared the girl because of the', 'love your father bears her father.']",3.202
1255,"[""I didn't, I--""]",0.827
1256,"['When Aerys Targaryen', 'sat on the Iron Throne,']",2.07
1257,"['your father was a rebel', 'and a traitor.']",2.468
1258,"[""Someday you'll sit on the throne and"", 'the truth will be what you make it.']",4.37
1259,['Do I have to marry her?'],1.867
1260,['Yes.'],1.8
1261,"[""She's very beautiful and young.""]",2.101
1262,"[""If you don't like her, you only"", 'need to see her on formal occasions']",3.236
1263,"['and when the time comes, to make', 'little princes and princesses.']",3.902
1264,"[""And if you'd rather fuck painted"", ""whores, you'll fuck painted whores.""]",3.536
1265,"[""And if you'd rather lie with"", 'noble virgins, so be it.']",3.102
1266,"['You are my darling boy', 'and the world will be']",2.034
1267,['exactly as you want it to be.'],2.234
1268,"['Do something nice', 'for the Stark girl.']",2.301
1269,"[""- I don't want to."", '- No, but you will.']",2.269
1270,"['The occasional kindness will spare you', 'all sorts of trouble down the road.']",4.07
1271,"['We allow the northerners', 'too much power.']",1.934
1272,"['They consider themselves', 'our equals.']",2.368
1273,['How would you handle them?'],2.135
1274,"[""I'd double their taxes""]",2.168
1275,"['and command them to supply', '10,000 men to the royal army.']",3.502
1276,"['- A royal army?', '- Why should every lord command his own men?']",3.269
1277,"[""It's primitive, no better"", 'than the hill tribes.']",2.334
1278,"['We should have a standing army', 'of men loyal to the Crown,']",2.935
1279,"['trained by', 'experienced soldiers--']",1.834
1280,"[""Instead of a mob of peasants who've"", 'never held pikes in their lives.']",3.602
1281,['And if the northerners rebel?'],2.568
1282,"[""I'd crush them.""]",1.635
1283,"['Seize Winterfell and install', 'someone loyal to the realm']",2.702
1284,"['as Warden of the North.', 'Uncle Kevan, maybe.']",2.935
1285,"['And these 10,000 northern troops, would', 'they fight for you or their lord?']",3.669
1286,"[""- For me. I'm their King."", '- Mm-hmm.']",2.435
1287,"[""But you've just"", 'invaded their homeland,']",2.101
1288,"['- asked them to kill their brothers.', ""- I'm not asking.""]",2.768
1289,"['The North cannot be held--', 'not by an outsider.']",3.002
1290,"[""It's too big and too wild."", 'And when the winter comes,']",2.635
1291,"[""the seven gods together couldn't"", 'save you and your royal army.']",3.336
1292,"['A good King knows', 'when to save his strength...']",2.968
1293,"['And when to destroy', 'his enemies.']",2.334
1294,['So you agree...'],2.735
1295,['The Starks are enemies?'],2.402
1296,"[""Everyone who isn't us""]",2.735
1297,['is an enemy.'],2.001
1298,"['Enough of that, young lady.', 'Eat your food.']",2.602
1299,"[""- I'm practicing."", '- Practicing for what?']",1.901
1300,"['- The prince.', '- Arya, stop!']",2.067
1301,"[""He's a liar and a coward"", 'and he killed my friend.']",3.169
1302,['The Hound killed your friend.'],1.793
1303,"['The Hound does whatever', 'the prince tells him to do.']",1.938
1304,"[""- You're an idiot."", ""- You're a liar, and if you told the truth""]",2.602
1305,"['- Mycah would be alive.', '- Enough!']",2.702
1306,"[""What's happening here?""]",1.701
1307,"['Arya would rather act', 'like a beast than a lady.']",3.302
1308,"['Go to your room.', ""We'll speak later.""]",2.335
1309,"[""That's for you, love.""]",2.968
1310,"['The same dollmaker makes all', ""of Princess Myrcella's toys.""]",2.935
1311,"[""Don't you like it?""]",2.102
1312,"[""I haven't played with dolls"", 'since I was eight.']",2.903
1313,"['- May I be excused?', ""- You've barely eaten a thing.""]",2.735
1314,"[""It's all right."", 'Go on.']",2.502
1315,['War was easier than daughters.'],2.434
1316,['- Go away!'],2.601
1317,"['Ned:', 'Arya, open the door.']",2.567
1318,['May I come in?'],2.301
1319,"['- Whose sword is that?', '- Mine.']",2.735
1320,['Give it to me.'],1.834
1321,"[""I know this maker's mark."", ""This is Mikken's work.""]",2.936
1322,['Where did you get this?'],1.834
1323,['This is no toy.'],2.234
1324,"[""- Little ladies shouldn't play with swords."", ""- I wasn't playing.""]",2.935
1325,"[""And I don't want to be a lady.""]",1.934
1326,['Come here.'],2.401
1327,['Now what do you want with this?'],2.334
1328,"[""It's called Needle.""]",1.901
1329,"['Oh, a blade with a name.']",2.636
1330,"['And who were you hoping', 'to skewer with Needle?']",2.702
1331,['Your sister?'],1.735
1332,"['Do you know the first thing', 'about sword fighting?']",2.368
1333,"[""Stick 'em with the pointy end.""]",1.768
1334,"[""That's the essence of it.""]",3.002
1335,['I was trying to learn.'],2.235
1336,"['I asked Mycah', 'to practice with me.']",2.869
1337,['I asked him.'],1.802
1338,"['- It was my fault.', '- No, sweet girl.']",2.702
1339,"[""No no, you didn't kill"", ""the butcher's boy.""]",3.503
1340,"['I hate them!', 'I hate all of them.']",3.236
1341,"['The Hound, the Queen', 'and the King']",2.602
1342,['and Joffrey and Sansa.'],1.507
1343,"['Sansa was dragged before', 'the King and Queen...']",3.526
1344,"['And asked to call', 'the prince a liar.']",2.634
1345,"['So was I!', 'He is a liar.']",2.501
1346,"['Shh, darling, listen to me.']",2.101
1347,"['Sansa will be married', ""to Joffrey's someday.""]",3.036
1348,['She cannot betray him.'],2.302
1349,"['She must take his side', ""even when he's wrong.""]",2.836
1350,"['But how you can let her', 'marry someone like that?']",2.669
1351,['Well.'],1.901
1352,['Look at me.'],2.502
1353,"[""You're a Stark of Winterfell."", 'You know our words.']",3.269
1354,['Winter is coming.'],1.434
1355,"['You were born', 'in the long summer.']",2.402
1356,"[""You've never known"", 'anything else.']",2.101
1357,['But now winter is truly coming.'],2.034
1358,"['And in the winter,', 'we must protect ourselves,']",2.901
1359,"['look after one another.', 'Sansa is your sister.']",4.437
1360,"[""I don't hate her.""]",2.369
1361,['Not really.'],2.168
1362,"[""I don't want to frighten you,""]",1.968
1363,"[""but I won't lie to you either.""]",1.834
1364,"[""We've come"", 'to a dangerous place.']",2.402
1365,"['We cannot fight a war', 'amongst ourselves.']",3.637
1366,['All right?'],2.001
1367,"['Go on.', ""It's yours.""]",3.936
1368,['I can keep it?'],1.9
1369,"['Try not to stab', 'your sister with it.']",3.169
1370,"[""If you're going to own a sword,""]",2.368
1371,"[""you'd better"", 'know how to use it.']",1.867
1372,"[""Don't listen to it."", 'Crows are all liars.']",3.635
1373,"['- I know a story about a crow.', '- I hate your stories.']",3.602
1374,"['I know a story about a boy', 'who hated stories.']",3.837
1375,"['I could tell you about', 'Ser Duncan the Tall.']",3.37
1376,"['Those were always', 'your favorites.']",1.968
1377,"[""Those weren't my favorites.""]",2.368
1378,"['My favorites were', 'the scary ones.']",2.636
1379,"['Oh, my sweet summer child.', 'What do you know about fear?']",4.203
1380,"['Fear is for the winter,']",1.801
1381,"['when the snows fall', 'a hundred feet deep.']",2.969
1382,"['Fear is for the long night,']",2.102
1383,['when the sun hides for years'],2.969
1384,"['and children are born', 'and live and die']",2.736
1385,['all in darkness.'],2.701
1386,"['That is the time for fear,', 'my little Lord,']",3.035
1387,"['when the white walkers', 'move through the woods.']",3.335
1388,"['Thousands of years ago', 'there came a night']",3.169
1389,['that lasted a generation.'],2.101
1390,"['Kings froze to death', 'in their castles,']",2.936
1391,"['same as the shepherds', 'in their huts.']",2.234
1392,"['And women smothered', 'their babies']",2.869
1393,"['rather than see them starve,']",2.135
1394,"['and wept and felt the tears', 'freeze on their cheeks.']",4.003
1395,"['So is this the sort', 'of story that you like?']",3.703
1396,"['In that darkness,']",2.101
1397,"['the White Walkers', 'came for the first time.']",2.502
1398,"['They swept through cities', 'and kingdoms,']",3.135
1399,"['riding their dead horses,']",2.167
1400,"['hunting with their packs of', 'pale spiders big as hounds--']",3.936
1401,['What are you telling him now?'],2.347
1402,"['Only what what are the little', 'lord wants to hear.']",2.089
1403,"['Get your supper.', 'I want some time with him.']",5.235
1404,['- One time she told me'],2.402
1405,"['the sky is blue because', 'we live inside the eye']",2.269
1406,"['of a blue-eyed giant', 'named Macomber.']",2.835
1407,['Maybe we do.'],2.234
1408,['How do you feel?'],2.335
1409,"[""You still don't"", 'remember anything?']",2.134
1410,"['Bran,']",2.001
1411,"[""I've seen you climb"", 'a thousand times.']",2.167
1412,"['In the wind, in the rain--']",1.867
1413,['A thousand times.'],2.1
1414,"['- You never fall.', '- I did though.']",2.368
1415,"[""It's true, isn't it,""]",2.267
1416,"['what Maester Luwin', 'says about my legs?']",3.336
1417,"[""I'd rather be dead.""]",2.035
1418,"[""- Don't ever say that."", ""- I'd rather be dead.""]",3.204
1419,"['Fewer eyes back here, My Lady.']",2.636
1420,['But still too many.'],2.001
1421,"[""It's nine years since I've"", 'set foot in the capital.']",2.635
1422,"['And no one knew who I was the', 'last time I came either.']",3.369
1423,['My Lady.'],2.501
1424,"[""Welcome to King's Landing, Lady Stark."", 'Would you mind following us?']",3.268
1425,"['I would.', ""We've done nothing wrong.""]",1.866
1426,"[""We've been instructed to"", 'escort you into the city.']",2.301
1427,['Instructed?'],1.8
1428,"[""I don't know who's providing"", 'your instructions, but--']",2.702
1429,"['Follow me, Lady Stark.']",1.734
1430,"['Cat!', 'Go on.']",2.803
1431,['Go upstairs.'],1.834
1432,['You little worm!'],2.701
1433,"['You take me for some', 'back-alley Sally']",2.768
1434,['you can drag into a--'],1.433
1435,['Pssst!'],1.6
1436,['I meant no disrespect'],2.035
1437,['to you of all people.'],2.368
1438,['How dare you bring me here!'],2.134
1439,['Have you lost your mind?'],1.8
1440,"['No one will come looking for you here.', ""Isn't that what you wanted?""]",2.635
1441,"[""I'm truly sorry"", 'about the locale.']",3.536
1442,"['How did you know I was', ""coming to King's Landing?""]",2.469
1443,['A dear friend told me.'],2.001
1444,"['- Lady Stark.', '- Lord Varys.']",2.835
